date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-07-10,651133,8566262,4857902,223587,1183530,38715,18180,2004861
2024-07-11,660763,8545436,4853208,223740,1199766,38602,19429,2005315
2024-07-12,662096,8521364,4845855,222898,1196767,40306,19472,2005755
2024-07-13,625185,8519043,4839403,221930,1128308,35832,17257,2006214
2024-07-14,580540,8507785,4833321,221252,1056640,34081,15810,2006613
2024-07-15,616005,8499309,4826166,220387,1105131,35400,16384,2006993
2024-07-16,639652,8498739,4820062,219384,1149667,38356,17860,2007398
2024-07-17,664056,8504438,4814706,218509,1187565,38726,18410,2007835
2024-07-18,654882,8505626,4809351,217918,1178014,37600,17416,2008231
2024-07-19,640051,8484060,4807201,217510,1149793,37274,16938,2008628
2024-07-20,613686,8481740,4806268,217156,1112152,35475,15833,2009057
2024-07-21,583776,8481068,4805312,216809,1063140,35453,15633,2009507
2024-07-22,623704,8483885,4804153,216488,1123180,39011,17513,2009959
2024-07-23,632148,8484833,4805455,216192,1148951,40072,18101,2010457
2024-07-24,637692,8485533,4806121,216214,1159771,38609,18193,2011001
2024-07-25,638427,8492548,4806249,216188,1155139,37804,18298,2011423
2024-07-26,646465,8484808,4799602,215342,1162375,40073,17818,2011917
2024-07-27,633557,8495002,4795950,214510,1142994,34975,16880,2012322
2024-07-28,602434,8496219,4793120,213722,1096850,35214,16981,2012704
2024-07-29,626052,8489827,4789341,212814,1129061,36168,17259,2013066
2024-07-30,631482,8483374,4783637,211496,1133602,36219,17324,2013462
2024-07-31,663658,8486540,4776931,210108,1179804,36151,18262,2013907
2024-08-01,691053,8493394,4773537,209298,1222430,37226,18977,2014388
2024-08-02,718633,8531860,4777267,209014,1257699,37039,19052,2014851
2024-08-03,682080,8558021,4780108,208713,1197421,36850,17353,2015227
2024-08-04,651900,8566920,4779554,208147,1170316,37331,17906,2015628
2024-08-05,692799,8580495,4778452,207453,1226653,38191,19395,2016036
2024-08-06,718333,8606003,4779793,206774,1256734,37821,19156,2016464
2024-08-07,687828,8626597,4782332,206333,1212489,36239,17722,2016880
2024-08-08,703162,8652714,4784789,205916,1243332,36547,18732,2017279
2024-08-09,728025,8691594,4785229,205780,1271962,37884,18357,2017715
2024-08-10,679351,8719490,4786428,205644,1203544,34231,16988,2018143
2024-08-11,647612,8753960,4789221,205471,1151869,35492,16875,2018556
2024-08-12,703769,8799731,4793693,205393,1231960,37835,18717,2019009
2024-08-13,709571,8841459,4798012,205202,1241564,38003,19829,2019566
2024-08-14,716040,8872866,4801232,205117,1250370,38370,18818,2020057
2024-08-15,661153,8871794,4799991,204681,1176067,37134,17675,2020470
